pollen_concentration,timestamp
0.1 2026-02-01 10:51:46.331289
0.1 2026-02-09 11:13:47.746334
0.8 2026-02-12 11:11:19.606385
0.6 2026-02-13 11:07:12.733149
0.8 2026-02-14 10:51:55.575109
0.4 2026-02-15 10:52:23.700172
1.5 2026-02-16 11:11:31.981785
1.1 2026-02-17 11:11:13.000794
1.1 2026-02-18 11:10:52.412446
1.6 2026-02-19 11:11:26.665805
1.1 2026-02-20 11:03:44.020216
1.3 2026-02-21 10:50:59.629496
1.4 2026-02-22 10:50:18.097902
0.6 2026-02-23 11:11:27.106616
0.5 2026-02-24 11:11:24.827451
0.5 2026-02-25 11:13:08.578582
0.5 2026-02-26 11:11:06.043053
