pollen_concentration,timestamp
0.1 2026-02-05 11:07:20.341201
0.1 2026-02-06 11:06:17.427899
0.1 2026-02-07 10:51:38.826117
0.1 2026-02-08 10:53:29.156725
0.1 2026-02-09 11:13:38.960645
0.1 2026-02-10 11:26:27.400163
0.1 2026-02-11 11:13:17.835788
0.1 2026-02-12 11:11:10.920466
0.1 2026-02-13 11:07:03.680890
0.1 2026-02-14 10:51:46.844761
0.1 2026-02-15 10:52:15.164092
0.1 2026-02-16 11:11:23.569158
0.4 2026-02-20 11:03:35.377400
0.6 2026-02-21 10:50:51.227331
1.0 2026-02-22 10:50:09.528760
0.1 2026-02-23 11:11:18.532459
