pollen_concentration,timestamp
0.1 2025-11-01 10:38:52.178830
0.1 2025-11-02 10:38:09.170609
0.1 2025-11-03 10:45:12.263454
0.1 2025-11-04 10:45:40.906852
0.1 2025-11-05 10:44:29.308923
0.1 2025-11-06 10:44:35.253931
0.1 2025-11-07 10:42:46.948796
0.1 2025-11-08 10:38:45.168033
0.1 2025-11-09 10:38:20.593761
0.1 2025-11-10 10:45:06.706082
0.1 2025-11-11 10:44:41.995914
0.1 2025-11-12 10:45:35.217083
0.1 2025-11-14 10:43:29.361389
0.1 2025-11-15 10:39:33.638864
0.1 2025-11-16 10:39:51.638348
0.1 2025-11-17 10:45:13.568391
0.1 2025-11-18 10:45:28.943026
0.1 2025-11-19 10:44:31.834028
0.1 2025-11-20 10:43:47.853088
0.1 2025-11-21 10:43:05.615337
0.1 2025-11-22 10:38:43.583420
0.1 2025-11-23 10:39:57.882938
0.1 2025-11-24 10:45:46.460506
0.1 2025-11-25 10:47:03.103079
